City,Latitude,Longitude
Abbottabad,34.1558,73.2194
Abdul Hakim,30.55,72.1328
Abdul Khel,32.3997,70.9136
Ahmadpur East,29.1439,71.2592
Akora,34.0006,72.1217
Allahabad,28.9333,70.9667
Arandu,35.3103,71.5486
Arifwala,30.2981,73.0561
Atharan Hazari,31.1671,72.0898
Attock Khurd,33.7667,72.3667
Awan Patti,34.25,73.66
Ayun,35.7225,71.7669
Badin,24.6572,68.8406
Badrashni,33.9886,72.025
Bagh,33.9735,73.7918
Bagu Na Mohra,33.22,73.21
Bahawalnagar,29.9928,73.2536
Bahawalpur,29.3956,71.6836
Bahrain,35.2075,72.5456
Baltit,36.333,74.666
Bandhi,26.5833,68.3
Bannu,32.9864,70.6044
Basla,33.3833,73.3167
Bat Khela,34.62,71.97
Batgram,34.6833,73.0167
Bela,26.2267,66.3113
Bhakkar,31.6278,71.0625
Bhalwal,32.2656,72.8994
Bhawana,31.5661,72.6461
Bhimbar,32.9747,74.0731
Buni,36.2728,72.2597
Bunji,35.6422,74.6336
Cantonment,31.5167,74.3833
Chak Five Hundred Seventy-five,31.55,73.8333
Chak Jhumra,31.5667,73.1833
Chak Sixty-one Gugera Branch,31.5875,73.6897
Chak Thathi,30.3701,73.2215
Chak Thirty-six North Branch,32.1261,72.7297
Chakdarra,34.65,72.0333
Chakwal,32.9303,72.8556
Chaman,30.9222,66.4447
Charbagh,34.8333,72.4417
Charsadda,34.15,71.7333
Chauk Azam,30.9648,71.217
Chenab Nagar,31.7528,72.9222
Chilas,35.4194,74.0944
Chiniot,31.7194,72.9842
Chishtian,29.8,72.8333
Chitral,35.8461,71.7858
Choa Saidan Shah,32.7167,72.9833
Chunian,31.0167,73.85
Dadhar,29.47,67.65
Dadu,26.7325,67.7792
Dainyor,35.9194,74.3889
Dera Allahyar,28.4167,68.1667
Dera Ghazi Khan,30.0331,70.64
Dera Ismail Khan,31.8314,70.9019
Dhanot,29.5333,71.6333
Dina,33.0283,73.6011
Dinga,32.641,73.7243
Dipalpur,30.6708,73.6533
Doaba,33.5333,70.7333
Drazinda,31.7069,70.1352
Dulmial,32.7333,72.9167
Eminabad,32.0422,74.26
Faisalabad,31.4167,73.0911
Faruka,31.8853,72.4153
Firoza,28.75,70.8167
Gadani,25.1194,66.7319
Gahi Mammar,29.7375,71.9575
Gakuch,36.1736,73.7667
Ghora Gali,33.8833,73.3833
Ghota Fatehgarh,32.09,74.78
Ghotki,28.1,69.19
Ghuenke,32.4244,74.4603
Gilgit,35.9208,74.3083
Gojra,31.15,72.6833
Goth Tando Sumro,25.45,68.7167
Gujar Khan,33.253,73.304
Gujranwala,32.1567,74.19
Gujrat,32.5739,74.0789
Gwadar,25.1264,62.3225
Hadali,32.2922,72.1922
Hafizabad,32.0714,73.6878
Haider Khel,32.9449,70.296
Haji Shah,33.75,72.4
Hajira,33.7717,73.8961
Hala,25.81,68.43
Hangu,33.5333,71.0667
Haripur,33.9942,72.9333
Harnai,30.1,67.9378
Harunabad,29.6097,73.1378
Hasilpur,29.6917,72.5453
Hassan Abdal,33.8195,72.689
Hattian Bala,34.1691,73.7432
Hujra Shah Muqim,30.7333,73.8167
Hyderabad City,25.3792,68.3683
Idak,32.9741,70.1988
Islamabad,33.6931,73.0639
Jacobabad,28.2769,68.4514
Jaglot,35.685,74.6239
Jalalabad,35.88,74.493
Jalalpur Bhattian,32.0644,73.377
Jalalpur Jattan,32.6419,74.2033
Jamshoro,25.4244,68.2811
Jandola,32.3317,70.1228
Jaranwala,31.3333,73.4167
Jauharabad,32.2919,72.2736
Jhang City,31.2694,72.3161
Jhelum,32.9425,73.7256
Johi,26.6921,67.6133
Kabirwala,30.2,70.43
Kahan,29.2982,68.9023
Kahror Pakka,29.6236,71.9167
Kalat,29.03,66.589
Kalu Khan,34.2167,72.3
Kamalia,30.7333,72.65
Kambar,27.9833,68.65
Kandhkot,28.244,69.181
Kandiaro,27.0581,68.2078
Kanganpur,30.9489,73.7433
Karachi,24.86,67.01
Karak,33.1167,71.1
Kashmor,28.26,69.35
Kasur,31.1167,74.45
Kathri,26.4583,68.3192
Khairpur Mir’s,27.5333,68.7667
Khairpur Tamewah,29.58,72.2328
Khanewal,30.3,71.9333
Khanpur,28.65,70.68
Khapalu,35.1667,76.3333
Kharan,28.5833,65.4167
Kharian,32.8108,73.8647
Khewra,32.65,73.0167
Khipro,25.823,69.377
Khushab,32.2986,72.3508
Khuzdar,27.8,66.6167
Khwazakhela,34.9333,72.4667
Kohat,33.5833,71.4333
Kot Addu,30.4664,70.9656
Kot Mumin,32.1883,73.0286
Kot Radha Kishan,31.1725,74.0997
Kotla Qasim Khan,32.5833,73.75
Kotli,33.5156,73.9019
Kotri,25.374,68.3013
Kuchlagh,31.0833,67.1056
Kulachi,31.9286,70.4592
Kumila,35.25,73.5
Kundian,32.4522,71.4718
Lahore,31.5497,74.3436
Lala Musa,32.7003,73.9578
Lalian,31.8253,72.8027
Landi Kotal,34.1053,71.1553
Larkana,27.5583,68.2111
Liaquatpur,28.9353,70.9508
Lodhran,29.5333,71.6333
Mach,29.8669,67.3264
Makhdum Rashid,30.0,5.0
Malak Abad,34.8,71.8
Malakwal,32.5531,73.2067
Mandi Bahauddin,32.5797,73.4814
Mandi Burewala,30.1592,72.6817
Mankera,31.3833,71.4333
Mansehra,34.3339,73.2014
Mardan,34.2012,72.0258
Marot,28.51,71.5
Masho Khel,33.9103,71.5025
Matta,35.0931,72.3097
Mehrabpur,27.0994,68.4208
Mian Channun,30.45,72.3667
Mian Sahib,28.1559,68.6397
Mianwali,32.5853,71.5436
Mingaora,34.7717,72.36
Miro Khan,27.7597,68.0917
Mirpur Bhtoro,24.73,68.25
Mirpur Khas,25.525,69.0158
Mirpur Mathelo,28.0167,69.5333
Mithi,24.74,69.8
Multan,30.1978,71.4697
Muridke,31.802,74.255
Murree,33.9042,73.3903
Muzaffarabad,34.3583,73.4722
Muzaffargarh,30.0694,71.1942
Nankana Sahib,31.45,73.7067
Nasatta,34.1022,71.7964
Naushahro Firoz,26.85,68.1333
Nawabshah,26.2442,68.41
Nawan Shahr,34.1642,73.2639
New Mirpur,33.15,73.7333
Nowshera,34.0153,71.9747
Nurkot,32.2017,75.1186
Nushki,29.5556,66.0217
Okara,30.8092,73.4536
Pabbi,34.01,71.7975
Pakpattan,30.3442,73.3839
Panjgur,26.9683,64.1014
Parachinar,33.9,70.1
Pasni,25.2652,63.4698
Pasrur,32.2637,74.6628
Pattoki,31.0167,73.85
Peshawar,34.0144,71.5675
Phalia,32.4328,73.5778
Phularwan,32.1883,73.0286
Pind Dadan Khan,32.5883,73.0447
Pindi Bhattian,31.8958,73.2761
Pishin,30.5848,66.9948
Qazi Ahmad,26.4083,68.1564
Quetta,30.1833,67.0
Rahimyar Khan,28.42,70.3
Rangewala,30.8222,74.2611
Ranipur,27.2889,68.5044
Ratodero,27.8,68.2833
Rawalpindi,33.6,73.0333
Renala Khurd,30.8833,73.6
Risalpur Cantonment,34.0811,71.9725
Rohri,27.6831,68.9
Roulia,32.7972,74.0639
Rukan,32.4236,73.2722
Sabaur,32.8031,74.0614
Sadda,33.7056,70.3292
Saddiqabad,28.3006,70.1302
Safdarabad,31.7256,73.5771
Safdarabad,31.7167,73.5667
Sahiwal,30.6611,73.1083
Saidpur,33.7421,73.0677
Saidu Sharif,34.75,72.3572
Sakrand,26.1381,68.2731
Sambrial,32.16,74.4
Samundri,31.0625,72.9542
Sanghar,26.0442,68.9536
Sangota,34.7833,72.4167
Sarai Alamgir,32.9,73.75
Sargodha,32.0836,72.6711
Sarhari,26.1,68.4833
Sehwan,26.4193,67.8594
Shabqadar,34.2054,71.5833
Shah Latif Town,24.8806,67.1625
Shahdadpur,25.9228,68.6206
Shakargarh,32.2628,75.1583
Shekhupura,31.7111,73.9878
Shergarh,30.8281,73.7383
Shujaabad,29.8792,71.3028
Sialkot City,32.4925,74.5311
Sillanwali,31.825,72.5389
Skardu,35.2903,75.6444
Sujawal,24.6031,68.0792
Sukheke Mandi,31.8833,73.4667
Sukkur,27.7061,68.8483
Sultanpur Mor,32.1883,73.0286
Surab,28.4925,66.2597
Surmon Chogga Grong,35.1518,76.4454
Swabi,34.1202,72.4702
Talagang,32.9278,72.4111
Talamba,30.5255,72.2398
Talhar,24.8833,68.8167
Tamman,33.6772,72.8558
Tando Allahyar,25.4617,68.7167
Tando Muhammad Khan,25.1239,68.5389
Tank,32.13,70.23
Taxila,33.7458,72.7875
Thal,33.3644,70.5478
Thari Mir Wah,27.0683,68.6023
Thatta,24.7461,67.9244
Timargara,34.8278,71.8417
Toba Tek Singh,30.9711,72.4825
Turbat,26.0042,63.0606
Uch Sharif,29.2333,71.0667
